Date,Title,Content
2021-05-15 박지영 기자,가장 싼 30만원대 5G 스마트폰…“과연 쓸만할까?” [IT선빵!],"[헤럴드경제=박지영 기자] “30만원짜리 5G폰, 싸기는 한데…과연 쓸만할까?”

30만원대 5G(세대) 스마트폰이 나왔다. 삼성전자의 ‘갤럭시A32 LTE’의 5G 지원 모델인 ‘갤럭시점프’다. 출고가가 40만원이 채 안된다. 삼성전자가 앞서 출시한 5G폰은 물론, LG전자와 샤오미의 5G폰보다도 저렴하다.

갤럭시점프는 기본에 충실한 스마트폰이다. 이동통신 시장이 빠르게 5세대로 전환하는 상황에서, 가격 측면에서 소비자의 선택지를 넓혔다. 부담없는 가격에 5G를 경험해보고 싶은 소비자들을 공략했다. 갤럭시점프의 하드웨어 스펙을 기존에 출시된 40만원대 5G폰, LTE 모델과 비교해 분석해봤다.

첫 30만원대 5G폰…기본에 충실 했지만… 갤럭시점프의 최대 장점은 가격이다. 출고가가 39만 9300원이다. 현재까지 국내에 출시된 5G 스마트폰 중 가장 싸다. 50만원 이하 가격의 5G 스마트폰은 손에 꼽힌다. 삼성전자의 갤럭시A42(44만 9900원), LG전자의 LG Q92(49만 9400원), 샤오미의 미10라이트 5G(45만 1000원) 정도다. 경쟁사의 제품보다 6만~10만원 가량 저렴하다.

갤럭시점프는 6.5인치 크기의 디스플레이를 장착했다. 주사율은 60㎐, 화면 해상도는HD(1600x720)를 지원한다. 디스플레이 주사율은 1초에 화면이 깜빡이는 횟수로, 주사율이 높을수록 화면 움직임이 부드럽다. 경쟁사 모델과 주사율은 동일하지만, 화면 해상도는 낮다.

램 용량은 4GB(기가바이트), 내장 메모리는 128GB다. LG Q92와 미10라이트 5G보다는 램 용량이 2GB 정도 작다. 내장 메모리 용량은 동일하다. 램 용량은 멀티 태스킹할 때 중요한 스펙이다. 여러가지 앱(애플리케이션)을 한번에 구동하다보면 앱 속도가 느려지거나 꺼지는 현상을 겪을 수 있다.

색상은 어썸블랙, 어썸화이트, 어썸 레드 3가지다. 무게는 205g으로 가벼운 편에 속한다.

후면에는 ▷4800만 화소 메인 카메라 ▷800만 화소 초광각 ▷500만 화소 접사 ▷200만 화소 심도 카메라 등 총 4개의 카메라를 장착했다. 전면 카메라는 1300만 화소다. LG Q92와 미10라이트 5G의 메인 카메라 화소는 각각 4800만, 6400만이다. 세 제품 모두 광학식 손떨림 보정(OIS) 기능은 빠졌다.

배터리 용량은 5000mAh로 갤럭시점프가 가장 크다. LG Q92는 4000mAh, 미10라이트5G는 4160mAh 배터리를 탑재했다. 이밖에 15W고속 충전, 온스크린 지문 인식, 측면 지문인식, 삼성 페이 등 편의 기능을 지원한다.

삼성전자가 앞서 출시한 40만원대 5G폰 갤럭시A42와는 큰 차이가 없다. 갤럭시A42는 6.6인치 디스플레이로 갤럭시점프보다 약간 크다. 램·카메라 화소수, 배터리 용량, 편의 기능은 동일하다. 단, 갤럭시A42는 심도 카메라 화소가 500만 화소로, 갤럭시점프보다 더 높다.

갤럭시A32 LTE 모델과의 가장 큰 차이점은 디스플레이에 있다. 갤럭시점프는 갤럭시A32 LTE(6.4인치)보다 약간 더 크다. 주사율이 LTE모델(90㎐)보다 낮다는 점은 다소 아쉽다. 내장 메모리 용량은 갤럭시점프(128GB)가 LTE 모델(64GB)의 2배다.

KT 단독 출시…공식 출시일은 21일 갤럭시점프는 KT 단독 출시 제품이다. KT는 오는 20일까지 사전 예약을 진행한다. 공식 출시일은 오는 21일이다. KT는 가격 부담을 더욱 낮추기 위해 제휴카드 혜택도 준비했다. ‘슈퍼 2.5 현대카드’ 사용 시 2년간 월 최대 1만 8000원을 지원받을 수 있다(전월 70만원 이상 사용 조건).

사전 예약 구매 고객에게는 위치 추적 모바일 기기 ‘갤럭시 스마트태그’ 2팩과 지니뮤직 스마트 음악 감상 90일 이용권을 제공한다. 공식 출시일인 21일부터 다음 달 3일까지 2주간, 선착순 1000명을 대상으로 한 이벤트도 진행한다. 1년간 월 1회 더반찬& 밀키트를 증정한다. 프로모션 신청 시 밀키트 정기배송 혹은 적립금 중 하나를 택할 수 있다. 대상 요금제는 슈퍼플랜 초이스, 슈퍼플랜, Y슈퍼플런, 5G베이직 복지 등이다.

김병균 KT 디바이스사업본부장은 “5G 서비스를 많은 고객이 경험할 수 있도록 합리적이고 세련된 5G 스마트폰을 준비했다”며 “다양한 혜택 프로모션을 통해 부담 없이 갤럭시 점프를 경험하길 바란다”고 말했다.

park.jiyeong@heraldcorp.com"
2021-05-14 황상욱,"마이셰프, 취약계층 아동들에 DIY 밀키트 기부 진행","밀키트를 고르는 똑똑한 기준 마이셰프가 가정의 달을 맞아 취약계층 아동들을 위해 DIY 밀키트 세트(사진)를 기부했다고 14일 밝혔다. 이번 기부 제품은 아동 보호 단체인 초록우산어린이재단, 안양의집, 명륜보육원 총 세 곳을 통해 취약계층 아동들에게 전달될 예정이다. 마이셰프는 코로나19가 장기화하며 복지 사각지대에 놓인 어린이들의 결식 문제를 돕기 위해 이번 기부 프로젝트를 준비했다고 설명했다.

전달되는 밀키트는 어린이가 직접 쉽고 간단한 요리를 체험하며 흥미를 느낄 수 있도록 만든 아동 전용 DIY 키트다. 해썹(HACCP_ 인증 공장에서 신선한 재료를 사용해 안전하게 제작됐으며 '핑크퐁 아기상어'와 협업해 어린이들의 선호도가 높은 제품이다. 마이셰프는 DIY 밀키트를 통해 아동들이 든든한 한 끼와 더불어 즐거운 경험을 가지길 바란다고 설명했다.

마이셰프는 사회적으로 소외된 이웃에 필요한 도움을 제공하기 위해 지속적인 관심을 갖고 다양한 기부 활동을 진행해오고 있다. 지난해 말에는 브랜드 모델 영탁과 함께 고객이 직접 참여하는 기부 캠페인을 실시했다. 올해에는 미혼모, 아동 등 취약계층을 위한 밀키트를 기부해왔다. 마이셰프는 앞으로도 제품 기부 외 다양한 CSR 활동을 통해 기업의 사회적 책임을 다할 계획이라고 밝혔다.

임종억 마이셰프 대표는 ""가정의 달을 맞아 돌봄이 필요한 어린이들이 맛있는 음식과 함께 행복한 시간을 보내길 바라는 마음으로 아동 단체들과 협력해 이번 기부를 준비하게 됐다""면서 ""앞으로도 마이셰프는 주위 소외된 계층에 든든하고 따뜻한 한 끼를 선물할 수 있도록 지속적인 기부를 통해 나눔 문화를 확산하며 고객분들께서 보내주신 사랑에 보답할 것""이라고 전했다.

마이셰프는 건강한 식문화를 구현한다는 브랜드 철학 아래 2011년부터 국내 최초로 밀키트 사업을 시작한 밀키트 전문 기업이다. 업계 최초로 HACCP, ISO22000 인증을 획득하고 밀키트에 최적화된 생산관리·배송 시스템을 구축해 신선하고 우수한 밀키트를 선보이고 있다. 또 마이셰프 소속 셰프가 직접 개발한 소스와 약 500여 개의 밀키트 레시피를 통해 고객들이 편리하게 요리를 즐길 수 있도록 다양한 제품군을 제공하고 있다.

황상욱 기자 eyes@busan.com"
2021-05-14 육성연 기자,‘부들거리는 이 계란도 가짜’ 2021년 휩쓸 트렌드[식탐],"[헤럴드경제=육성연 기자]지난해 훨훨 날았던 식물성 기반 식품의 상승세는 올해도 의심할 여지가 없다. 이제 주목할 것은 식물성 기반 식품의 트렌드 방향이다.

미국 경제 전문지 포브스가 내놓은 ‘2021년 식물성 기반 식품 트렌드’ 전망에서는 지난해 미국 시장을 휩쓴 육류 대체품에 이어 올해는 식물성 기반의 해산물이나 계란 대체품이 꾸준히 등장할 것으로 예상됐다. 이와 함께 채식 레시피에 따라 요리하는 가정이 늘어날 것이며, 영양제 섭취를 넘어 간식에서도 각종 영양소를 추가한 스낵 제품이 주목받을 것으로 전망됐다. 플라스틱 포장의 감소나 ‘탄소 라벨’ 등 지속가능성에 대한 기업의 노력은 더 강조될 것으로 예측됐다.



계란 대체품의 성장

닭 없이 생산된 달걀도 이전보다 더 많은 선택을 받을 전망이다. 미국 푸드테크 기업 ‘저스트’(JUST INC)가 만든 ‘저스트에그’(JUST EGG)는 지난해 폭발적인 인기를 얻었다. 녹두, 콩 등으로 만들어진 이 제품은 계란보다 포화지방이 낮고, 단백질 함량은 더 높다. 출시 몇 달만에 미국 전역의 식료품점과 많은 레스토랑에서 사용됐으며, 아시아 진출도 확장중이다. 국내에서도 SPC삼립이 제휴를 통해 독점 생산·유통하고 있다. 올해는 비건 계란 시장이 더욱 성장할 것으로 기대되고 있다.



2021년은 비건 해산물의 해

지난해가 대체육, 식물성 닭고기의 해였다면 올해는 식물성 해산물의 해가 될 것으로 예상된다. 특히 식물 기반으로 만든 닭고기가 인기를 끌면서 소비자들은 생선이나 새우, 참치 등의 비건 해산물에도 보다 쉽게 접근할 수 있게 됐다. 고기가 없는 패티를 굽고, 비건 치킨 너겟을 튀기며, 식물성 새우를 꼬치에 끼우는 주방은 더이상 낯설지 않은 모습이다.



보다 새로운 식물성 우유

새로운 경험을 원하는 밀레니얼세대는 식물성 우유에서도 새로움을 원한다. 새로운 식물성 우유와 함께 과일이나 견과류, 씨앗, 통곡물 등이 결합된 새로운 맛의 제품도 꾸준히 선보여질 것이다.



영양제, 간식 제품으로 섭취

영양제는 더이상 알약으로만 섭취하지 않게 될 것이다. 스낵이나 그래놀라바, 음료, 심지어 초콜릿이나 아이스크림에도 영양성분이 추가된 신제품이 쏟아질 것으로 전망된다. 프로바이오틱스가 든 과자나 콜라겐이 주입된 다크 초콜릿, 단백질이 들어간 아이스크림처럼 말이다.



집에서 시도하는 채식 레시피의 유행

건강한 채식 레시피가 SNS와 동영상 사이트를 통해 유행을 끌면서 올해는 가정에서 채식 요리를 하는 비율이 높아질 것으로 보인다. 글로벌 밀키트 시장의 성장 역시 한국의 비빔밥처럼 다양한 국가의 채식 요리를 가능하게 만드는 요인이다.



플라스틱 소비 감소·탄소 라벨 이용

패스트푸드 메뉴에 칼로리가 처음 붙여진 것은 혁명이었다. ‘탄소 라벨’도 마찬가지다. 이제 소비자들은 자신이 고른 식품이 환경에 얼마나 영향을 미치는가를 알고 싶어한다. 그것도 정확한 수치를 통해서 말이다. 이미 영국의 식품회사인 퀀(Quorn)은 ‘탄소 발자국’(Carbon Footprint, 제품 및 서비스 전 과정에서 발생하는 온실가스 배출량) 수치를 제품에 표시하는 ‘탄소 라벨링’을 지난해 시작했다. 올해는 더 많은 기업들이 이 같은 추세를 따를 것으로 기대된다. 포장 분야에서는 플라스틱이나 재활용 가능성이 낮은 재료의 이용이 크게 감소될 것으로 보인다.

gorgeous@heraldcorp.com"
2021-05-14 박정은,"KT, 5G 스마트폰 '갤럭시 점프' 사전예약","KT가 20일까지 전국 매장과 공식 온라인몰(KT샵)에서 삼성전자 '갤럭시 점프(Jump)' 사전예약을 접수한다.

갤럭시 점프는 국내에서 처음으로 출시되는 30만원대 5G 스마트폰으로, KT에서 단독으로 판매된다. 공식 출시는 21일이다. '어썸 블랙', '어썸 화이트', '어썸 레드' 3가지 색상으로, 출고가는 39만 9300원이다.

갤럭시 점프는 6.5인치 대화면, 128GB 메모리, 5000mAh 배터리를 지원하며, 삼성페이・측면 지문인식 등 합리적 가격에도 각종 편의기능을 갖췄다. 또, 지문이 묻지 않는 매트한 무광 디자인으로 고급스러움을 구현했다.

KT는 갤럭시 점프를 사전 예약하고 구매한 고객 대상으로 '갤럭시 스마트태그' 2팩과 지니뮤직 스마트음악감상 90일 이용권을 제공한다. 갤럭시 스마트태그는 내 가족, 반려동물, 소중한 물건의 위치를 쉽고 안전하게 관리해주는 장치다.

또, 21일부터 6월 3일까지 2주간 갤럭시 점프을 구매한 고객 중 선착순 1000명을 대상으로 5G 무제한 요금제 등 일부를 이용하는 고객에게 월 1회, 1년간 '더반찬&' 밀키트를 증정하는 프로모션(총 12회)도 실시한다.

김병균 KT 디바이스사업본부장(상무)은 “5G 서비스를 많은 고객이 경험할 수 있도록 합리적이고 세련된 5G 스마트폰을 준비했다”라며, “다양한 혜택 프로모션을 통해 부담 없이 갤럭시 점프를 경험하길 바란다”고 말했다.


박정은기자 jepark@etnews.com"
2021-05-14 송하늘|기자|,"서일대, 중랑구 국공립어린이집연합회 랜선 부모 쿠킹클래스","[머니투데이 대학경제 송하늘 기자] 서일대학교는 최근 가정의 달을 맞아 교내 식품영양학과 공유주방에서 랜선 부모 쿠킹클래스를 실시했다고 14일 밝혔다.

중랑구 국공립어린이집연합회와 중랑구청, 중랑구 어린이급식관리지원센터가 협력해 이번 행사를 진행했다.

'가족사랑 요리로 꽃피우다'를 주제로 열린 부모 쿠킹클래스는 코로나19로 외부활동이 자유롭지 않은 상황에서 요리를 통한 가족 간의 유대감 증대를 위해 기획됐다. 100여 명 학부모가 줌(Zoom)을 통해 행사에 참여했다.

행사 현장에 참가한 학부모들은 밀키트로 감바스, 알리오올리오 스파게티, 오리엔탈드레싱 샐러드 등을 요리했다. 강정원 식생활 전문강사가 식재료의 영양 정보를 전달하며 요리를 지도했다. 류경기 중랑구 구청장도 보조쉐프로 참여해 부모들과 소통하는 시간을 가졌다.

산학협력단 이원근 단장은 ""우리 대학이 새롭게 구축한 공유주방 공간을 통해 지역사회와 함께 행사를 진행하고 소통할 수 있어 기쁘다""며 ""대학이 보유한 전문인력과 시설자원을 적극 활용해 지역사회와 더욱 긴밀히 협력하겠다""고 강조했다.

한편 서일대 산학협력단은 중랑구 어린이급식관리지원센터를 위탁 운영하고 있다. 이 센터를 통해 중랑구 지역 223개·100인 미만 어린이 시설의 영양 및 위생관리를 지원한다."
2021-05-14 이상규,"국내 첫 30만원대 5G 스마트폰 '갤럭시점프' KT, 단독 출시…사전 예약","KT는 14일부터 20일까지 7일간 전국 KT 매장 및 공식 온라인 홈페이지 'KT샵'에서 삼성전자 '갤럭시 점프(Jump)' 사전예약을 진행한다고 14일 밝혔다. 갤럭시 점프는 국내에서 처음으로 출시하는 30만원대 5G 스마트폰으로 KT에서 단독으로 판매된다. 공식 출시 일은 21일이다.
갤럭시 점프는 6.5인치 대화면, 128GB 메모리, 5000mAh 배터리를 지원하며, 삼성페이, 측면 지문인식 등 합리적 가격에도 각종 편의기능을 갖췄다. 또한 지문이 묻지 않는 매트한 무광 디자인으로 고급스러움이 강조됐다. 단말은 '어썸 블랙', '어썸 화이트', '어썸 레드' 3가지 색상이며, 출고가는 39만9300원(VAT포함)이다.
KT에 따르면 가벼운 가격으로 5G를 경험할 수 있다는 것이 갤럭시 점프의 장점이다. '슈퍼 2.5 현대카드'와 갤럭시 점프를 함께 이용하면 월 최대 1만 8000원씩 24개월간 총 43만 2000원의 통신비 할인(전월 70만원 이상 이용 조건)을 지원 받아 비용 부담을 줄일 수 있다.
이와 함께 '슈퍼플랜 초이스' 요금제로 무제한 5G 데이터와 콘텐츠도 부담 없이 이용할 수 있다.
슈퍼플랜 베이직 초이스 넷플릭스(9만원)에 가입하면 5G 데이터 완전 무제한에 월 정액 9500원의 '넷플릭스 베이식'을 쓸 수 있다. 또한 이마트 할인 쿠폰, 스타벅스 커피 무료 등의 VIP 멤버십 혜택도 제공한다. 선택약정 할인(25%)과 프리미엄 가족결합(25%)을 적용 받으면 여러 혜택들을 최대 50% 할인된 4만원대에 이용 할 수 있다.
KT는 갤럭시 점프를 사전 예약해 구매한 고객 대상으로 '갤럭시 스마트태그' 2팩과 지니뮤직 스마트음악감상 90일 이용권을 제공한다. 갤럭시 스마트태그는 내 가족, 반려동물, 소중한 물건의 위치를 쉽고 안전하게 관리해주는 장치이다.
이와 함께 KT는 21일부터 6월 3일까지 2주간 갤럭시 점프을 구매한 고객 중 선착순 1000명 대상으로 5G 무제한 요금제 등 일부를 이용하는 고객에게 월 1회, 1년간 '더반찬&' 밀키트를 증정하는 프로모션(총 12회)을 시행한다. 프로모션 신청 시, 더반찬& 밀키트 정기배송 또는 더반찬& 적립금 제공 중 하나를 선택할 수 있다. 프로모션 대상 요금제 이외 요금제로 중도 변경 시 프로모션 혜택은 중단된다.
KT 디바이스사업본부장 김병균 상무는 ""5G 서비스를 많은 고객이 경험할 수 있도록 합리적이고 세련된 5G 스마트폰을 준비했다""라며, ""다양한 혜택 프로모션을 통해 부담 없이 갤럭시 점프를 경험하길 바란다""고 말했다.
[이상규 매경닷컴 기자 boyondal@mk.co.kr]"
2021-05-14 임혜선,"[K푸드 숨은 주역]""고객 50%는 재구매…밀키트도 구독시대""","⑤이명희 hy R&BD부문 제품개발센터 멀티상품팀장 냉장 유통망으로 신설 배달 미생물 테스트로 안전성 검증
[아시아경제 임혜선 기자] 국내 밀키트 시장은 3년 만에 20배 성장했다. 시장 침투율은 10% 수준이다. 전체 소비자 10명 중 1명이 밀키트를 경험해본 셈이다. hy의 신선 간편식 브랜드 ‘잇츠온’은 제품에 대한 바로미터인 재구매율이 50%에 달한다. 실제로 밀키트를 경험한 고객 절반은 한 달 내 다시 구매했다.

""밀키트도 구독 시대""

상품 개발을 맡고 있는 이명희 hy R&BD부문 제품개발센터 멀티상품팀장(사진·43)은 14일 ""hy 잇츠온 밀키트가 고객들로부터 큰 사랑을 받는 이유로는 정기배송 서비스와 맛 그리고 신뢰성을 꼽을 수 있다""면서 ""정기배송 서비스를 통해 고객은 단 한 번의 주문만으로도 밀키트 제품을 원하는 시간과 장소에서 신선하게 받아볼 수 있다""고 말했다. 이명희 팀장은 2007년 유제품 연구팀으로 입사해 14년간 hy에서 근무하고 있다.

hy가 밀키트를 선택한 배경은 신선함을 모토로 내세운 브랜드 슬로건과 전국 프레스 매니저 기반의 냉장 유통망 때문이다. 특히 위생과 안전성에 신경썼다. hy 중앙연구소 제품개발팀에서는 내외부 관능검사 패널을 통한 검증을 바탕으로 대중적인 입맛에 맞는 제품을 개발하는 것은 물론, 식재료의 안전성을 검증하는 것 또한 중요한 개발 과정으로 보고 차별화 전략으로 삼고 있다.

이 팀장은 ""대부분 생물로 구성돼 있는 밀키트의 안전성을 위해서는 미생물에 대한 철저한 검사가 필요하다""면서 ""hy 중앙연구소는 식품업계 최초 기업 부설 연구소로 균(菌)에 관한 연구만 50년 가까이 해왔으며, 개발한 시제품을 각각 다른 온도에서 노출한 채 미생물 테스트를 반복 진행해 안전성을 검증한다""고 설명했다. 이어 ""자체 유통기한을 넘어 적어도 일주일은 취식이 가능한 상태를 지향점으로 하고 있고, 품질안전센터라는 자체 조직도 있다""고 했다.

맛집보다 더 맛난 사골부대찌개 인기

잇츠온 밀키트 판매 1위 제품은 사골부대찌개다. 2019년 출시 이후 사골부대찌개는 한 해에 3만여개가 판매되면서, 전체 밀키트 판매량의 18.5%를 차지했다. 이 팀장은 ""사골부대찌개는 사골육수를 베이스로 통통한 소시지와 부대찌개 토핑이 아낌없이 들어가서 여느 맛집 못지않은 만족스러운 맛과 품질을 자부하는 제품""이라고 소개했다. 주 고객층은 40대 여성이다. 연령대로는 4050세대 비중이 2018년 55%에서 지난해 60%로 늘었다. 특히 요리하는 남자가 늘어나는 사회적인 트렌드로 남성고객 비중도 2018년 23%에서 지난해 28%로 증가했다.

이 팀장은 코로나19 장기화에 따라 온라인 구매와 밀키트에 대한 경험이 확대되면서 밀키트 시장은 성장세가 지속될 것이라고 내다봤다.

임혜선 기자 lhsro@asiae.co.kr"
2021-05-14 신승훈,"KT, 30만원대 5G 스마트폰 ‘갤럭시 점프’ 사전예약","출고가 39만9300원...어썸블랙·어썸화이트·어썸레드 3색 기종 ""다양한 혜택 프로모션 제공...부담 없이 갤럭시 점프 경험하길""
KT가 14일부터 20일까지 전국 KT 매장·공식 온라인 홈페이지 ‘KT샵’에서 ‘갤럭시 점프(Jump)’ 사전예약을 진행한다. [사진=KT 제공]

KT가 14일부터 20일까지 전국 KT 매장·공식 온라인 홈페이지 ‘KT샵’에서 ‘갤럭시 점프(Jump)’ 사전예약을 진행한다.

KT는 국내에서 처음 출시하는 30만원대 5세대(5G) 스마트폰인 갤럭시 점프를 단독으로 판매한다고 14일 밝혔다. 공식 출시일은 21일이다.

갤럭시 점프는 6.5인치 대화면, 128GB 메모리, 5000mAh 배터리를 지원한다. 삼성페이, 측면 지문인식 등도 갖췄다. 단말은 ‘어썸 블랙’, ‘어썸 화이트’, ‘어썸 레드’ 3가지 색상으로 구성됐다. 출고가는 39만9300원(부가세 포함)이다.

‘슈퍼 2.5 현대카드’와 갤럭시 점프를 함께 이용하면 월 최대 1만8000원씩 24개월간 총 43만2000원의 통신비 할인(전월 70만원 이상 이용 조건)을 받을 수 있다.

‘슈퍼플랜 초이스’ 요금제를 선택하면 무제한 5G 데이터와 콘텐츠를 부담 없이 이용 가능하다. ‘슈퍼플랜 베이직 초이스 넷플릭스(9만원)’에 가입하면 5G 데이터 무제한에 월 9500원의 ‘넷플릭스 베이식’을 이용할 수 있다.

이마트 할인 쿠폰, 스타벅스 커피 무료 등 VIP 멤버십 혜택도 제공한다. 선택약정 할인(25%)과 프리미엄 가족 결합(25%)을 적용하면 최대 50% 할인된 4만원대에 이용할 수 있다.

KT는 갤럭시 점프를 사전 예약해 구매한 고객 대상으로 ‘갤럭시 스마트태그’ 2팩과 지니뮤직 스마트음악감상 90일 이용권을 제공한다. 갤럭시 스마트태그는 가족, 반려동물, 소중한 물건의 위치를 안전하게 관리해주는 장치다.

KT는 오는 21일부터 6월 3일까지 2주간 갤럭시 점프를 구매한 고객 가운데 5G 무제한 요금제 등을 이용하는 고객 대상으로 선착순 1000명을 선정해 월 1회, 1년간 ‘더반찬&’ 밀키트를 증정하는 프로모션(12회)을 시행한다.

갤럭시 점프에는 영상 통화 연결음 ‘V컬러링’이 적용됐다. V컬러링은 고객이 원하는 영상을 설정해 놓으면 전화를 거는 상대방의 스마트폰에 해당 영상을 보여주는 서비스다. V컬러링 앱에서 제공되는 최신 인기 영상을 비롯해 본인이 직접 촬영하고 편집한 영상을 보여줄 수 있다.

기존 링투유(음성 통화연결음)와 동일한 가격으로 부담 없이 이용할 수 있는 프로모션도 6월까지 진행된다. 가입 후 90일간 V컬러링 단품은 월 990원, V컬러링과 캐치콜 패키지는 월 1320원에 이용할 수 있다. 3개월 이후에는 각각 월 3300원, 3600원으로 이용 가능하다.

김병균 KT 디바이스사업본부장(상무)은 “5G 서비스를 많은 고객이 경험할 수 있도록 합리적이고 세련된 5G 스마트폰을 준비했다”면서 “다양한 혜택 프로모션을 통해 부담 없이 갤럭시 점프를 경험하길 바란다”고 말했다.
신승훈 기자 shs@ajunews.com"
2021-05-14 배정환 기자,"밀키트 창업 전문 더팜홈쿡, 제일 대전 창업박람회 참가","테이크아웃 전문 프렌차이즈 더팜홈쿡은 오는 5월13일부터 15일 까지 ‘제9회 제일 창업박람회 IN대전’에 참가한다. 코로나19가 촉발한 비대면 소비 트렌드와 외식문화의 축소로 밀키트 창업 아이템이 주목을 받는 가운데 더팜홈쿡은 밀키트(HMRㆍ가정간편식)상품을 내세우는 테이크아웃 전문 프렌차이즈 브랜드다. 24시간 운영이 가능하며, 1인창업, 무인창업, 소자본창업이 가능해 가맹점주들의 비용부담이 적다.

또한 10평 내외의 소규모 매장으로 임대료에 대한 절감과 24시간 무인시스템이 적용돼 있어, 인건비 절감 등 이 시대에 맞는 요소들이 많아 긍정적으로 여겨지며 매장 내 조리가 필요 없고, 1900만원의 부담 없는 창업비용이 눈길을 끈다.

밀키트 프렌차이즈 중 본사에서 직접 제조를 하며 독보적으로 150여가지의 레시피 구성되어 있으며, R&D에 강점을 가지고 있어 감자탕, 김치찜, 소불고기전골, 국물떡볶이 등이 있어 메뉴의 다양성을 확보하여 가맹점들의 관심을 끈다. 그중 어린이 밀키트는 아이들의 입맛을 사로잡을 뿐만이 아니라 맞벌이, 초보주부 등에게 큰 인기를 얻고 있다,

더팜홈쿡 관계자는 대전, 충남, 충북지역에서 창업문의가 끊이지 않고 있는 가운데 전국 밀키트프렌차이즈 창업 시장을 확보해 나가겠다""고 전했다."
2021-05-14 김현주,"마이셰프, DIY 밀키트 기부 프로젝트 진행","밀키트를 고르는 똑똑한 기준 마이셰프(대표 임종억)가 가정의 달을 맞아 취약계층 아동들을 위해 DIY 밀키트 세트를 기부했다고 14일(금) 밝혔다.

이번 기부 제품은 아동 보호 단체인 초록우산어린이재단, 안양의집, 명륜보육원 총 세 곳을 통해 취약계층 아동들에게 전달될 예정이다. 마이셰프는 코로나19가 장기화되며 복지 사각지대에 놓인 어린이들의 결식 문제를 돕기 위해 이번 기부 프로젝트를 준비했다고 밝혔다.

특히, 전달되는 밀키트는 어린이가 직접 쉽고 간단한 요리를 체험하며 흥미를 느낄 수 있도록 만든 아동 전용 DIY 키트로, HACCP 인증 공장에서 신선한 재료를 사용해 안전하게 제작되었으며 ‘핑크퐁 아기상어’와 협업해 어린이들의 선호도가 높은 제품이다. 마이셰프는 DIY 밀키트를 통해 아동들이 든든한 한 끼와 더불어 즐거운 경험을 가지길 바란다고 설명했다.

마이셰프는 사회적으로 소외된 이웃에 필요한 도움을 제공하기 위해 지속적인 관심을 갖고 다양한 기부 활동을 진행해오고 있다. 지난해 말에는 브랜드 모델 영탁과 함께 고객이 직접 참여하는 기부 캠페인을 실시했으며, 올해에는 미혼모, 아동 등 취약계층을 위한 밀키트를 기부해왔다. 마이셰프는 앞으로도 제품 기부 외 다양한 CSR 활동을 통해 기업의 사회적 책임을 다할 계획이라고 밝혔다.

마이셰프 임종억 대표는 “가정의 달을 맞아 돌봄이 필요한 어린이들이 맛있는 음식과 함께 행복한 시간을 보내길 바라는 마음으로 아동 단체들과 협력해 이번 기부를 준비하게 됐다’면서, “앞으로도 마이셰프는 주위 소외된 계층에 든든하고 따뜻한 한 끼를 선물할 수 있도록 지속적인 기부를 통해 나눔 문화를 확산하며 고객분들께서 보내주신 사랑에 보답할 것”이라고 말했다.

김현주 기자 hjk@segye.com"
